,YEAR_START,YEAR_END,REDCHI2,OFFAXIS,K,K_err,gamma,gamma_err,spicorr,spicorr_err,compnorm,compnorm_err,compcorr_150_200,compcorr_200_210,compcorr_210_220,compcorr_220_230,compcorr_230_240,compcorr_240_250,compcorr_250_260,compcorr_260_270,compcorr_270_280,compcorr_280_290,compcorr_290_300,compcorr_300_350,compcorr_350_400,compcorr_400_450,compcorr_450_500,compcorr_500_600,compcorr_600_700,compcorr_700_800,compcorr_800_1000,compcorr_1000_1500,compcorr_1500_2000,compcorr_2000_2500,compcorr_2500_3000,YEAR_ERR,YEAR_AVG
2003-2004,2003,2004,0.22041332014618625,3.068577060150376,18.2,0,2.24,0,0.6856698849637516,0.036268974302962435,1.0,0,0.9232120509479333,0.7839441196883511,0.8128470809165436,0.8357208183787243,0.8107735149050155,0.9157242591140744,0.860986143950313,0.9290391804907272,0.9209090367567603,0.9604197464198291,0.8862799550687207,0.9992689725832371,1.0504583147517752,1.078671544531821,1.0079694011167386,0.9602976166130639,1.1190220159038027,1.0163349625371447,0.8727789467456097,0.8149227364466178,1.2276287019742118,0.8928725397232344,1.787603889309508,1.0,2004.0
2005-2006,2005,2006,0.25208131468740186,2.634782333333333,18.2,0,2.24,0,0.6865843448416685,0.03881392740199973,1.0,0,0.8749556684728311,0.7027286446249505,0.7046505286815965,0.6961874195347371,0.7300476305720018,0.7709553438834471,0.7613393912691582,0.8300529531011607,0.8698137749152821,0.9223803702617224,0.9141251004387858,0.9875924479196501,0.9880409211970257,0.9195552157954229,0.9913698698581691,1.1689784010349247,1.064772038480014,1.0366193857954276,1.1648946304877088,0.8269376405074143,0.959464547643745,1.0669519531890237,1.5271733671153622,1.0,2006.0
2007-2008,2007,2008,0.37558170941913066,3.228161975830816,18.2,0,2.24,0,0.757959371725889,0.02909755503531611,1.0,0,0.7333714092728022,0.6031449701154623,0.5714327705443747,0.6084629245410138,0.6892709955347714,0.7128094174969233,0.7498180414397451,0.8124202971569331,0.8374723793885255,0.8695916707106052,0.8569888302567279,0.9704758011456848,0.9088369957363244,1.076833948042737,1.0925910288816598,1.0048781786961467,1.109964799386389,0.9906314902171601,1.021298680318839,0.990319332431251,0.9962472438964072,0.9305630238188437,1.1443002034817786,1.0,2008.0
2009-2010,2009,2010,0.08753150582370221,3.3811053776824034,18.2,0,2.24,0,0.7037368598511602,0.015240924876046204,1.0,0,0.6990695707480767,0.49714555698178364,0.4684629250954707,0.4950807252432564,0.568936206689723,0.629862820584464,0.6622245741828319,0.686039873441258,0.7191823963226947,0.816717058539197,0.8140930881142565,0.8651119617870335,0.9725836506500221,1.0189450455158466,0.967329036017847,1.0897592564287575,0.9914373800667289,1.0108396635240997,1.0314874350181216,0.951234809312597,0.8905668218192435,1.2450902489243127,1.4771141314068825,1.0,2010.0
2011-2012,2011,2012,0.11998655679123363,3.2764192681992332,18.2,0,2.24,0,0.651441371577472,0.017565510876007204,1.0,0,0.5763619732733429,0.49348729735663643,0.4553457573947862,0.49020832788145496,0.5201565062562477,0.5747559297028446,0.6040730378402227,0.641809553455861,0.687695653802836,0.7082042982845936,0.7377756809909162,0.852713023948753,0.9668116419013127,1.01268008134372,0.9973583738868103,0.9865489843274571,1.1409386425469015,0.9177134408378553,1.026491129551753,1.0442451633416772,1.0229732679092307,1.0624636363868984,1.2031327327600865,1.0,2012.0
2013-2014,2013,2014,0.08905117485813965,3.3939120159362552,18.2,0,2.24,0,0.7172545774049663,0.011473207798483584,1.0,0,0.7607982803914686,0.5596854351599797,0.5285438139763472,0.5354485056592273,0.5959794393233775,0.6438763798961331,0.6887281661783224,0.7095274249070855,0.7373045080570961,0.7590838614415945,0.7923576124570793,0.8704139065687155,0.9757886151249869,1.0297625250099411,1.0006990365511788,1.0550790496539124,0.9998958777924383,0.9781273496639029,0.9633170762734837,0.9931924174934744,0.9024613550745983,1.0552230699389196,1.2743985697166706,1.0,2014.0
2015-2016,2015,2016,0.11588530539517732,3.4705689937791604,18.2,0,2.24,0,0.7111766533981039,0.010632735500190683,1.0,0,0.762075548128432,0.4957144923515283,0.46493980785036493,0.47545105811462085,0.5452638699397226,0.5841289815158297,0.6237154201925438,0.6640102834236364,0.707199692340212,0.7384812953337621,0.7867840269950064,0.8575368077961694,0.992004720834473,1.0007731884250373,0.9600363946886501,1.0195836147100903,1.0161151884504007,1.0405850195186377,0.9433691289223702,1.04659323462013,0.9245977220631212,1.0969690575033915,1.1526870749955196,1.0,2016.0
2017-2018,2017,2018,0.3068214300447577,3.477674805653711,18.2,0,2.24,0,0.7871013673759697,0.018763419734384248,1.0,0,0.6422373138690529,0.42654111219579605,0.39743747886051173,0.4136754530092859,0.49427168665658805,0.5451290988590684,0.5865124635124571,0.6265587216869233,0.6786466246470133,0.7216389012356181,0.7499090139672288,0.8518975612569053,0.9618250693755169,1.0469802407553435,1.1127561581556125,0.9766785398922007,0.9962249586938572,0.9492995289263148,1.0179139596348663,1.0028445296036272,0.9837146286166345,1.1039882168406028,1.1953715866577026,1.0,2018.0
2019-2020,2019,2020,0.3055069608628438,3.328166696400626,18.2,0,2.24,0,0.8178967417440142,0.01855106708920006,1.0,0,0.6500030617037176,0.41537377492778915,0.3905126434565761,0.41296227759471005,0.48811336124040394,0.5534404268002637,0.5926170953728962,0.6403614579217433,0.6894148432030089,0.7184299950307378,0.7529772832678414,0.8384314342224881,0.9633248099678993,1.0721571078479264,1.0556554339670319,1.003091728432555,1.0122775561583892,0.9415874726176187,1.0456898751506192,0.9477091342730518,0.9052741545629015,0.9874397871888803,1.026513942797928,1.0,2020.0
2021-2022,2021,2022,0.34942004568252344,3.4495623354632583,18.2,0,2.24,0,0.8177147102648679,0.02044266888043673,1.0,0,0.7317997616650117,0.41653100135869947,0.4002933752103688,0.4111247651394615,0.4754804024999817,0.539761326472658,0.6043297583578263,0.6489634388696817,0.6842614596169133,0.7264401228321027,0.7772893742197137,0.8392685120419393,0.9444164590737865,1.0488391340311545,0.9959532785889695,1.015616584660334,1.0351281363849054,1.0340626127555912,1.1258798882996568,0.9697309455699685,1.0732503481197522,1.0950971606058786,0.9716875699430915,1.0,2022.0
