,YEAR_START,YEAR_END,REDCHI2,K,K_err,gamma,gamma_err,spicorr,spicorr_err,compnorm,compnorm_err,YEAR_ERR,YEAR_AVG
2003-2004,2003,2004,0.7313908830541561,21.4,0,2.27,0,0.717449008136331,0.029837394690092344,1.0,0,1.0,2004.0
2005-2006,2005,2006,0.4844292799376753,21.4,0,2.27,0,0.7187333742513962,0.0232560074151366,1.0,0,1.0,2006.0
2007-2008,2007,2008,0.6286789618473244,21.4,0,2.27,0,0.8026223580593814,0.016189574885908387,1.0,0,1.0,2008.0
2009-2010,2009,2010,0.34760544566139734,21.4,0,2.27,0,0.731742030773334,0.011520835595080547,1.0,0,1.0,2010.0
2011-2012,2011,2012,0.515562974757372,21.4,0,2.27,0,0.7078652130453376,0.014195574073708446,1.0,0,1.0,2012.0
2013-2014,2013,2014,0.5352777299292872,21.4,0,2.27,0,0.7805415748588154,0.012802950325213253,1.0,0,1.0,2014.0
2015-2016,2015,2016,0.2963631091071911,21.4,0,2.27,0,0.7771703840132136,0.00825988492627496,1.0,0,1.0,2016.0
2017-2018,2017,2018,1.1848750930648624,21.4,0,2.27,0,0.8367660495076887,0.017209116879575728,1.0,0,1.0,2018.0
2019-2020,2019,2020,1.1286824847653827,21.4,0,2.27,0,0.886730756631698,0.016117021508088854,1.0,0,1.0,2020.0
2021-2022,2021,2022,0.6386525362758724,21.4,0,2.27,0,0.8775883642035944,0.012774218278232637,1.0,0,1.0,2022.0
2023-2024,2023,2024,1.473238044558702,21.4,0,2.27,0,0.8476169856051821,0.020310060235682117,1.0,0,1.0,2024.0
